time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2020/10/23/20:07:56.010401,310,1603480075,977548908,map,-0.00275841347557,0.0053086671234,-0.00188345629747,-0.00093763985903,-0.00135382521973,-0.00258662367301,0.999995298672
2020/10/23/20:07:56.044016,311,1603480076,10704908,map,-0.00275526668639,0.00530380606644,-0.00188668518436,-0.000921610626382,-0.00134831061585,-0.00257507595231,0.999995350827
2020/10/23/20:07:56.077355,312,1603480076,44255908,map,-0.00275616294271,0.00530780106783,-0.00188586977047,-0.000945552615559,-0.00135382522982,-0.00258085624433,0.999995306123
2020/10/23/20:07:56.110357,313,1603480076,77486908,map,-0.00275910195579,0.00531011998661,-0.0018903615887,-0.00093763985903,-0.00135382521973,-0.00258662367301,0.999995298672
2020/10/23/20:07:56.144070,314,1603480076,110554908,map,-0.00276201424926,0.0053094777464,-0.00189427305475,-0.000921610605783,-0.00135931742132,-0.00257796765128,0.999995328476
2020/10/23/20:07:56.177222,315,1603480076,144229908,map,-0.00276095245236,0.00530765950668,-0.00189141250698,-0.000937639817115,-0.00134831056562,-0.00258374134695,0.999995313574
2020/10/23/20:07:56.210562,316,1603480076,177509908,map,-0.00275850000554,0.00530347824089,-0.00189575649907,-0.000921610626382,-0.00134831061585,-0.00257507595231,0.999995350827
2020/10/23/20:07:56.244044,317,1603480076,210525908,map,-0.00276175410681,0.00530342042444,-0.00189042310784,-0.000913490606283,-0.00133721333526,-0.0025808562251,0.999995358278
2020/10/23/20:07:56.277565,318,1603480076,244123908,map,-0.00276499772049,0.00530769675972,-0.00188851317746,-0.000929659786857,-0.00134277339747,-0.00258662357665,0.999995321024
2020/10/23/20:07:56.310511,319,1603480076,277556908,map,-0.00276402215921,0.00530930995934,-0.001889720286,-0.000921610612649,-0.00134277341748,-0.0025837414047,0.999995335926
2020/10/23/20:07:56.344226,320,1603480076,310504908,map,-0.00276108156769,0.00531407833105,-0.00188802494962,-0.000913490592671,-0.00133721331534,-0.00258662363447,0.999995343376
2020/10/23/20:07:56.377461,321,1603480076,344182908,map,-0.00276189827896,0.00531471520664,-0.00188797510584,-0.000929659786857,-0.00134277339747,-0.00258662357665,0.999995321024
2020/10/23/20:07:56.410727,322,1603480076,377461908,map,-0.00276162835666,0.00531848341217,-0.00188438311418,-0.000937639824101,-0.00134831057567,-0.00258085612895,0.999995321025
2020/10/23/20:07:56.443902,323,1603480076,410857908,map,-0.00276526501746,0.00532062143084,-0.00188568751476,-0.000921610626382,-0.00134831061585,-0.00259811966677,0.999995291222
